index,value
初期時刻,0 ~ 0
初期座標 x,2.983 ~ 2.983
初期座標 y,0 ~ 0
初期座標 theta,0.46365 ~ 0.46365
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.050285 ~ -0.050285
初期座標 omega,0.023314 ~ 0.023314
終端時刻,90 ~ 90
終端座標 x,4.983 ~ 4.983
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.050285 ~ -0.050285
終端座標 omega,0.023314 ~ 0.023314
状態境界 x,2.983 ~ 4.983
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,1000
soln.info.funcCount,732821
soln.info.constrviolation,8.2618e-12
soln.info.stepsize,0.003182
soln.info.algorithm,interior-point
soln.info.firstorderopt,3.7098e-06
soln.info.cgiterations,463
soln.info.bestfeasible.fval,72.9284
soln.info.nlpTime,139.265
soln.info.exitFlag,0
