index,value
初期時刻,0 ~ 0
初期座標 x,2.3832 ~ 2.3832
初期座標 y,-1 ~ -1
初期座標 theta,0.38051 ~ 0.38051
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.12588 ~ -0.12588
初期座標 omega,0.023949 ~ 0.023949
終端時刻,90 ~ 90
終端座標 x,7.3832 ~ 7.3832
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.12588 ~ -0.12588
終端座標 omega,0.023949 ~ 0.023949
状態境界 x,2.3832 ~ 7.3832
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,162
soln.info.funcCount,119437
soln.info.constrviolation,1.2809e-15
soln.info.stepsize,3.5061e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,0.0021058
soln.info.cgiterations,149
soln.info.bestfeasible.fval,68.0647
soln.info.nlpTime,22.7332
soln.info.exitFlag,2
