index,value
初期時刻,0 ~ 0
初期座標 x,2.3832 ~ 2.3832
初期座標 y,-2 ~ -2
初期座標 theta,0.54042 ~ 0.54042
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.18882 ~ -0.18882
初期座標 omega,0.034014 ~ 0.034014
終端時刻,90 ~ 90
終端座標 x,7.3832 ~ 7.3832
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.18882 ~ -0.18882
終端座標 omega,0.034014 ~ 0.034014
状態境界 x,2.3832 ~ 7.3832
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,37
soln.info.funcCount,27164
soln.info.constrviolation,1.1525e-15
soln.info.stepsize,2.1969e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,1.181600991659907e+17
soln.info.cgiterations,71
soln.info.bestfeasible.fval,-5674919096.6406
soln.info.nlpTime,5.1661
soln.info.exitFlag,2
