index,value
初期時刻,0 ~ 0
初期座標 x,2.5831 ~ 2.5831
初期座標 y,-1 ~ -1
初期座標 theta,0.46365 ~ 0.46365
初期座標 vx,0.15 ~ 0.15
初期座標 vy,-0.11614 ~ -0.11614
初期座標 omega,0.026924 ~ 0.026924
終端時刻,90 ~ 90
終端座標 x,6.5831 ~ 6.5831
終端座標 y,1 ~ 1
終端座標 theta,-3.1416 ~ 3.1416
終端座標 vx,0.15 ~ 0.15
終端座標 vy,-0.11614 ~ -0.11614
終端座標 omega,0.026924 ~ 0.026924
状態境界 x,2.5831 ~ 6.5831
状態境界 y,-2.2 ~ 2.2
状態境界 theta,-3.1416 ~ 3.1416
状態境界 vx,0 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.7854
制御境界 accx,-0.15 ~ 0.15
制御境界 accy,-0.15 ~ 0.15
制御境界 ang_acc,-0.7854 ~ 0.7854
非零のための下駄,0.001
soln.info.iterations,1000
soln.info.funcCount,732831
soln.info.constrviolation,1.5504e-12
soln.info.stepsize,0.0025057
soln.info.algorithm,interior-point
soln.info.firstorderopt,2.0265e-06
soln.info.cgiterations,2097
soln.info.bestfeasible.fval,-8.6608
soln.info.nlpTime,136.1612
soln.info.exitFlag,0
