index,value
初期時刻,0 ~ 0
初期座標 x,10 ~ 10
初期座標 y,0 ~ 2.5
初期座標 theta,0 ~ 0
初期座標 vx,0 ~ 0
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,60 ~ 60
終端座標 x,15 ~ 15
終端座標 y,0 ~ 2.5
終端座標 theta,0 ~ 0
終端座標 vx,0 ~ 0
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,10 ~ 15
状態境界 y,1.25 ~ 1.25
状態境界 theta,-Inf ~ Inf
状態境界 vx,-0.15 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.785398
制御境界 accx,-0.375 ~ 0.375
制御境界 accy,-0.375 ~ 0.375
制御境界 ang_acc,-0.3927 ~ 0.3927
soln.info.iterations,62
soln.info.funcCount,46116
soln.info.constrviolation,7.6419e-12
soln.info.stepsize,0.0024001
soln.info.algorithm,interior-point
soln.info.firstorderopt,7.1636e-07
soln.info.cgiterations,0
soln.info.bestfeasible.fval,0.0043094
soln.info.nlpTime,7.1143
soln.info.exitFlag,1
