index,value
初期時刻,0 ~ 0
初期座標 x,0 ~ 0
初期座標 y,0 ~ 2.5
初期座標 theta,0 ~ 0
初期座標 vx,0 ~ 0
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,120 ~ 120
終端座標 x,15 ~ 15
終端座標 y,0 ~ 2.5
終端座標 theta,0 ~ 0
終端座標 vx,0 ~ 0
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,0 ~ 15
状態境界 y,0.5 ~ 1
状態境界 theta,-Inf ~ Inf
状態境界 vx,-0.15 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.785398
制御境界 accx,-0.1875 ~ 0.1875
制御境界 accy,-0.1875 ~ 0.1875
制御境界 ang_acc,-0.19635 ~ 0.19635
soln.info.iterations,362
soln.info.funcCount,265719
soln.info.constrviolation,2.9297e-13
soln.info.stepsize,0.00026402
soln.info.algorithm,interior-point
soln.info.firstorderopt,8.9603e-07
soln.info.cgiterations,0
soln.info.bestfeasible.fval,0.074008
soln.info.nlpTime,50.443
soln.info.exitFlag,1
