index,value
初期時刻,0 ~ 0
初期座標 x,10 ~ 10
初期座標 y,0 ~ 2.5
初期座標 theta,0 ~ 0
初期座標 vx,0 ~ 0
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,120 ~ 120
終端座標 x,15 ~ 15
終端座標 y,0 ~ 2.5
終端座標 theta,0 ~ 0
終端座標 vx,0 ~ 0
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,10 ~ 15
状態境界 y,0.5 ~ 1.5
状態境界 theta,-Inf ~ Inf
状態境界 vx,-0.15 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.785398
制御境界 accx,-0.1875 ~ 0.1875
制御境界 accy,-0.1875 ~ 0.1875
制御境界 ang_acc,-0.19635 ~ 0.19635
soln.info.iterations,272
soln.info.funcCount,199308
soln.info.constrviolation,2.6836e-15
soln.info.stepsize,2.0758e-10
soln.info.algorithm,interior-point
soln.info.firstorderopt,1.534e-05
soln.info.cgiterations,2505
soln.info.bestfeasible.fval,0.00012714
soln.info.nlpTime,37.711
soln.info.exitFlag,2
