index,value
初期時刻,0 ~ 0
初期座標 x,10 ~ 10
初期座標 y,1 ~ 1
初期座標 theta,0 ~ 0
初期座標 vx,0 ~ 0
初期座標 vy,0 ~ 0
初期座標 omega,0 ~ 0
終端時刻,120 ~ 120
終端座標 x,15 ~ 15
終端座標 y,1 ~ 1
終端座標 theta,-3.14159 ~ 3.14159
終端座標 vx,0 ~ 0
終端座標 vy,0 ~ 0
終端座標 omega,0 ~ 0
状態境界 x,10 ~ 15
状態境界 y,0 ~ 2.5
状態境界 theta,-3.1416 ~ 3.14159
状態境界 vx,-0.15 ~ 0.15
状態境界 vy,-0.15 ~ 0.15
状態境界 omega,-0.7854 ~ 0.785398
制御境界 accx,-Inf ~ Inf
制御境界 accy,-Inf ~ Inf
制御境界 ang_acc,-Inf ~ Inf
soln.info.iterations,13
soln.info.funcCount,10248
soln.info.constrviolation,6.239e-13
soln.info.stepsize,0.00055931
soln.info.algorithm,interior-point
soln.info.firstorderopt,4.0642e-07
soln.info.cgiterations,0
soln.info.bestfeasible.fval,2.7511e-22
soln.info.nlpTime,1.6449
soln.info.exitFlag,1
